wall_s,pts_s,drift_ms,draw_ms,write_ms,decode_ms,bytes,shown,dropped,px_w,px_h
0.039,0.000,+0.00,30.649,5.771,1.496,289608,1,0,1010,284
0.077,0.033,-7.42,21.598,1.669,1.188,248116,2,0,1010,284
0.145,0.067,-5.42,18.277,37.617,1.237,263622,3,0,1010,284
0.163,0.100,-25.75,16.758,1.234,1.266,175723,4,0,1010,284
0.201,0.133,-14.08,17.632,20.170,1.242,226001,5,0,1010,284
0.225,0.167,-12.08,21.791,2.081,1.240,303635,6,0,1010,284
0.291,0.200,-11.08,15.892,49.615,1.368,161052,7,0,1010,284
0.312,0.267,-8.08,19.156,1.794,1.237,261402,8,1,1010,284
0.371,0.300,-7.08,15.353,35.291,1.237,166543,9,1,1010,284
0.390,0.334,-15.75,17.548,1.376,1.239,225856,10,1,1010,284
0.449,0.367,-4.08,18.069,40.688,1.236,211009,11,1,1010,284
0.484,0.434,-1.08,17.951,17.447,1.235,258229,12,2,1010,284
0.503,0.467,-0.08,17.459,1.524,1.235,222051,13,2,1010,284
0.571,0.501,+1.92,16.775,37.898,1.244,237203,14,2,1010,284
0.590,0.534,-18.42,17.826,1.528,1.263,218012,15,2,1010,284
0.660,0.567,-6.75,17.303,52.910,1.382,218083,16,2,1010,284
0.680,0.634,-3.75,17.678,1.559,1.305,233103,17,3,1010,284
0.750,0.667,-2.75,17.704,46.849,1.238,219221,18,3,1010,284
0.770,0.701,-32.75,17.843,1.496,1.234,218465,19,3,1010,284
0.837,0.734,-21.08,18.103,49.086,1.380,243201,20,3,1010,284
0.859,0.801,-18.08,19.837,1.780,1.369,259721,21,4,1010,284
0.933,0.834,-6.42,17.529,56.917,1.383,230773,22,4,1010,284
0.954,0.901,-14.08,18.878,1.840,1.237,260612,23,5,1010,284
1.027,0.934,-2.42,17.830,55.687,1.357,235586,24,5,1010,284
1.048,1.001,-10.08,18.784,1.838,1.240,258405,25,6,1010,284
1.124,1.034,+1.58,17.765,57.824,1.369,228725,26,6,1010,284
1.144,1.101,-6.08,18.885,1.790,1.237,262790,27,7,1010,284
1.216,1.134,-5.08,16.373,43.713,1.237,233952,28,7,1010,284
1.237,1.201,-2.08,19.631,1.806,1.356,259948,29,8,1010,284
1.310,1.235,-0.08,16.661,43.595,1.235,232249,30,8,1010,284
1.322,1.268,-20.42,12.137,0.031,1.236,3492,31,8,1010,284
1.382,1.301,-8.75,18.071,42.066,1.306,225682,32,8,1010,284
1.401,1.335,-28.08,17.317,1.509,1.237,217686,33,8,1010,284
1.461,1.368,-16.42,17.709,41.782,1.382,231042,34,8,1010,284
1.482,1.435,-13.42,19.039,1.774,1.240,259240,35,9,1010,284
1.555,1.468,-1.75,16.966,49.868,1.238,230801,36,9,1010,284
1.575,1.502,-31.75,18.272,1.539,1.237,221123,37,9,1010,284
1.646,1.535,-20.08,17.484,54.214,1.364,223120,38,9,1010,284
1.669,1.602,-27.75,20.437,2.075,1.355,269578,39,10,1010,284
1.742,1.635,-16.08,17.560,55.952,1.409,217267,40,10,1010,284
1.765,1.702,-23.75,20.262,1.796,1.261,268284,41,11,1010,284
1.866,1.735,-12.08,17.266,84.519,1.378,221004,42,11,1010,284
1.887,1.835,-18.75,18.888,1.900,1.237,274509,43,13,1010,284
1.968,1.869,-6.08,17.300,58.206,1.238,234532,44,13,1010,284
1.987,1.935,-14.75,17.038,1.588,1.235,221721,45,14,1010,284
2.063,1.969,-2.08,18.939,56.497,1.368,224520,46,14,1010,284
2.097,2.035,-10.75,17.612,16.315,1.144,266982,47,15,1010,284
2.116,2.069,-8.75,18.226,1.475,1.235,225707,48,15,1010,284
2.180,2.102,-7.75,17.243,38.685,1.235,232369,49,15,1010,284
2.199,2.135,-28.08,17.410,1.525,1.238,221524,50,15,1010,284
2.269,2.169,-15.42,17.907,52.875,1.375,220516,51,15,1010,284
2.291,2.236,-12.42,19.306,1.890,1.234,265426,52,16,1010,284
2.363,2.269,-0.75,17.541,55.049,1.373,220082,53,16,1010,284
2.385,2.336,-8.42,19.628,1.818,1.238,267299,54,17,1010,284
2.457,2.369,-7.42,17.217,50.705,1.241,218859,55,17,1010,284
2.478,2.436,-4.42,19.190,1.898,1.241,268266,56,18,1010,284
2.549,2.469,-3.42,16.813,42.171,1.237,223287,57,18,1010,284
2.569,2.536,-0.42,18.183,1.451,1.240,235954,58,19,1010,284
2.641,2.569,+0.58,16.798,42.553,1.260,225291,59,19,1010,284
2.661,2.603,-18.75,18.618,1.635,1.244,220394,60,19,1010,284
2.732,2.636,-7.08,18.083,52.515,1.320,241914,61,19,1010,284
2.753,2.703,-14.75,19.093,1.880,1.235,266318,62,20,1010,284
2.831,2.736,-3.08,19.028,59.273,1.295,241445,63,20,1010,284
2.853,2.803,-10.75,19.819,1.777,1.372,265421,64,21,1010,284
2.931,2.836,+0.92,17.962,60.430,1.374,233728,65,21,1010,284
2.952,2.903,-6.75,19.269,1.716,1.237,270347,66,22,1010,284
3.027,2.936,-5.75,17.386,51.703,1.253,241242,67,22,1010,284
3.049,3.003,-2.75,19.244,1.793,1.239,271815,68,23,1010,284
3.126,3.036,-1.75,16.828,54.340,1.236,239984,69,23,1010,284
3.147,3.103,-9.42,19.240,1.798,1.236,272751,70,24,1010,284
3.222,3.136,-8.42,11.549,52.234,1.242,15912,71,24,1010,284
3.244,3.203,-5.42,20.091,1.906,1.344,277630,72,25,1010,284
3.296,3.237,-3.42,16.427,23.086,1.235,228981,73,25,1010,284
3.316,3.270,-13.08,17.895,1.670,1.233,243497,74,25,1010,284
3.391,3.303,-1.42,16.925,51.882,1.239,229766,75,25,1010,284
3.410,3.337,-31.42,17.622,1.555,1.244,229287,76,25,1010,284
3.481,3.370,-19.75,18.011,53.076,1.378,250748,77,25,1010,284
3.502,3.437,-27.42,19.310,1.809,1.236,277538,78,26,1010,284
3.582,3.470,-15.75,17.536,61.915,1.288,247290,79,26,1010,284
3.603,3.537,-23.42,19.547,1.785,1.244,279630,80,27,1010,284
3.685,3.570,-11.75,18.987,62.497,1.264,264805,81,27,1010,284
3.706,3.637,-30.08,19.299,1.785,1.234,277410,82,28,1010,284
3.789,3.670,-18.42,17.660,65.273,1.399,247647,83,28,1010,284
3.811,3.770,-3.75,19.837,1.945,1.367,283508,84,30,1010,284
3.891,3.804,-1.75,16.997,50.669,1.235,250504,85,30,1010,284
3.910,3.837,-32.75,17.764,1.541,1.241,235147,86,30,1010,284
3.987,3.871,-20.08,17.788,58.667,1.372,233286,87,30,1010,284
4.008,3.937,-28.75,19.733,2.011,1.234,289159,88,31,1010,284
4.085,3.971,-16.08,18.058,58.994,1.241,235858,89,31,1010,284
4.108,4.071,-1.42,20.473,1.890,1.374,296824,90,33,1010,284
4.183,4.104,-0.42,16.975,45.391,1.234,250700,91,33,1010,284
4.202,4.137,-31.42,17.834,1.627,1.238,239829,92,33,1010,284
4.310,4.171,-18.75,17.940,89.892,1.361,239018,93,33,1010,284
4.332,4.271,-25.42,20.125,2.058,1.241,297469,94,35,1010,284
4.415,4.304,-13.75,18.208,64.507,1.384,251382,95,35,1010,284
4.434,4.371,-21.42,17.585,1.661,1.236,237163,96,36,1010,284
4.481,4.404,-9.75,17.695,29.108,1.368,230013,97,36,1010,284
4.501,4.438,-29.08,18.104,1.627,1.238,246857,98,36,1010,284
4.577,4.471,-17.42,17.739,58.154,1.360,234028,99,36,1010,284
4.598,4.538,-25.08,19.522,1.865,1.251,281695,100,37,1010,284
4.681,4.571,-13.42,17.554,65.013,1.342,234136,101,37,1010,284
4.704,4.638,-21.08,20.650,1.985,1.241,282213,102,38,1010,284
4.780,4.671,-20.08,18.872,57.588,1.509,240821,103,38,1010,284
4.801,4.738,-27.75,19.767,1.187,1.261,281516,104,39,1010,284
4.882,4.771,-16.08,18.012,63.199,1.259,232068,105,39,1010,284
4.904,4.838,-23.75,19.488,1.922,1.245,281271,106,40,1010,284
4.982,4.872,-11.08,17.945,60.563,1.375,237925,107,40,1010,284
5.004,4.938,-30.42,19.534,1.940,1.248,283858,108,41,1010,284
5.083,4.972,-17.75,17.723,61.070,1.368,236787,109,41,1010,284
5.102,5.038,-26.42,17.775,1.654,1.243,234338,110,42,1010,284
5.176,5.072,-13.75,18.371,55.448,1.366,261211,111,42,1010,284
5.197,5.138,-22.42,19.464,1.856,1.239,282407,112,43,1010,284
5.280,5.172,-9.75,18.112,64.503,1.242,250612,113,43,1010,284
5.301,5.239,-28.08,19.414,1.886,1.235,280388,114,44,1010,284
5.381,5.272,-16.42,17.943,61.642,1.379,250935,115,44,1010,284
5.418,5.339,-24.08,18.725,18.804,1.235,283734,116,45,1010,284
5.440,5.405,-0.75,19.490,1.938,1.232,282879,117,46,1010,284
5.523,5.439,+1.25,16.882,53.860,1.239,238729,118,46,1010,284
5.543,5.472,-29.75,18.265,1.741,1.237,256336,119,46,1010,284
5.622,5.506,-17.08,17.937,60.989,1.369,240321,120,46,1010,284
5.646,5.606,-2.42,21.785,2.067,1.361,293611,121,48,1010,284
5.725,5.639,-1.42,11.747,54.398,1.330,2258,122,48,1010,284
5.760,5.672,-32.42,17.853,17.474,1.107,244232,123,48,1010,284
5.782,5.739,-8.08,19.779,1.846,1.234,291206,124,49,1010,284
5.849,5.772,-7.08,16.829,36.491,1.241,244854,125,49,1010,284
5.869,5.806,-26.42,18.412,1.807,1.235,261908,126,49,1010,284
5.948,5.839,-14.75,18.195,61.089,1.367,248769,127,49,1010,284
5.970,5.906,-22.42,20.037,2.018,1.238,292264,128,50,1010,284
6.050,5.939,-10.75,17.836,62.149,1.297,248730,129,50,1010,284
6.073,6.006,-29.08,20.384,1.927,1.374,289396,130,51,1010,284
6.160,6.039,-17.42,17.980,69.265,1.383,248254,131,51,1010,284
6.183,6.139,-2.75,20.819,2.117,1.377,299942,132,53,1010,284
6.256,6.173,-0.75,17.304,49.468,1.236,247798,133,53,1010,284
6.276,6.206,-31.75,18.555,1.829,1.236,265204,134,53,1010,284
6.355,6.240,-19.08,17.940,60.920,1.290,251160,135,53,1010,284
6.375,6.306,-27.75,18.277,1.839,1.241,252458,136,54,1010,284
6.453,6.340,-15.08,18.517,59.567,1.372,268511,137,54,1010,284
6.477,6.440,-0.42,21.271,2.123,1.364,302896,138,56,1010,284
6.592,6.473,+0.58,16.902,85.663,1.236,253071,139,56,1010,284
6.616,6.573,-6.08,21.675,1.794,1.349,303113,140,58,1010,284
6.668,6.607,-4.08,21.620,17.779,1.240,341260,141,58,1010,284
6.688,6.640,-13.75,19.000,1.760,1.300,281479,142,58,1010,284
6.785,6.673,-2.08,18.682,77.624,1.379,267253,143,58,1010,284
6.813,6.740,-31.08,25.910,1.923,1.261,279291,144,59,1010,284
6.858,6.773,-19.42,16.914,28.383,1.250,186991,145,59,1010,284
6.874,6.840,-5.75,15.417,0.916,1.249,132991,146,60,1010,284
6.933,6.873,-4.75,14.648,25.439,1.245,131829,147,60,1010,284
6.949,6.907,-13.42,15.344,0.818,1.250,130623,148,60,1010,284
