wall_s,pts_s,drift_ms,draw_ms,write_ms,decode_ms,bytes,shown,dropped,px_w,px_h
0.007,0.000,+0.00,1.803,2.471,1.675,289608,1,0,1010,284
0.074,0.033,-7.42,1.107,11.979,1.245,248116,2,0,1010,284
0.100,0.067,-5.42,1.552,5.456,1.088,263622,3,0,1010,284
0.126,0.100,-4.42,1.235,1.204,1.238,175723,4,0,1010,284
0.183,0.133,-3.42,1.427,25.242,1.239,226001,5,0,1010,284
0.191,0.167,-1.42,1.609,1.340,1.286,303635,6,0,1010,284
0.274,0.200,-0.42,1.101,50.993,1.259,161052,7,0,1010,284
0.276,0.234,-19.75,1.350,1.356,1.259,208876,8,0,1010,284
0.296,0.267,-8.08,1.515,1.647,1.241,252256,9,0,1010,284
0.377,0.300,-7.08,1.107,48.392,1.239,166543,10,0,1010,284
0.380,0.334,-26.42,1.455,1.382,1.239,225856,11,0,1010,284
0.396,0.367,-4.08,1.494,1.419,1.336,211009,12,0,1010,284
0.479,0.400,-3.08,1.320,57.344,1.270,225053,13,0,1010,284
0.482,0.434,-22.42,1.348,1.097,1.270,211484,14,0,1010,284
0.491,0.467,-0.08,1.393,1.438,1.292,222051,15,0,1010,284
0.592,0.501,+1.92,1.336,74.192,1.242,237203,16,0,1010,284
0.595,0.567,-6.75,1.555,1.363,1.242,261836,17,1,1010,284
0.686,0.601,-4.75,1.415,58.863,1.249,232901,18,1,1010,284
0.689,0.667,-2.75,1.403,1.330,1.249,219500,19,2,1010,284
0.774,0.701,-0.75,1.332,52.455,1.243,218465,20,2,1010,284
0.777,0.734,-21.08,1.613,1.720,1.244,243201,21,2,1010,284
0.787,0.767,+1.25,1.522,1.384,1.244,220594,22,2,1010,284
0.893,0.801,-7.42,1.388,65.692,1.256,213100,23,2,1010,284
0.896,0.868,-4.42,1.565,1.311,1.256,265851,24,3,1010,284
0.924,0.901,-3.42,1.389,1.400,1.238,222428,25,3,1010,284
1.011,0.934,-2.42,1.317,54.835,1.106,235586,26,3,1010,284
1.014,0.968,-21.75,1.368,1.115,1.106,215962,27,3,1010,284
1.023,1.001,+0.58,1.342,1.397,1.238,212138,28,3,1010,284
1.124,1.034,+1.58,1.324,68.721,1.241,228725,29,3,1010,284
1.127,1.101,-6.08,1.590,1.381,1.243,262790,30,4,1010,284
1.217,1.134,-5.08,1.288,56.995,1.238,233952,31,4,1010,284
1.220,1.168,-24.42,1.408,1.113,1.238,213420,32,4,1010,284
1.222,1.201,-2.08,1.405,1.081,1.238,217073,33,4,1010,284
1.328,1.235,-0.08,1.273,73.133,1.245,232249,34,4,1010,284
